Binomial.1.2,Mass.Source.Formatted,Mass.Source.Original,Mass.Comparison.Source.Formatted,Mass.Comparison.Source.Original,Browsing.Grazing.Source.Formatted,Browsing.Grazing.Method,Browsing.Grazing.Notes,Browsing.Grazing.Source.Original,Fermentation.Type.Source.Formatted,Fermentation.Type.Source.Original,Substrate.Source.Formatted,Substrate.Source.Original,Food.Handling.Source.Formatted,Food.Handling.Source.Original,Foot.Type.Source.Formatted,Foot.Type.Source.Original,Herd.Size.Source.Formatted,Herd.Size.Source.Original,Digging.Rooting.Source.Formatted,Digging.Rooting.Source.Original,k_medoid_herbivore,Mass.Method,Mass.Comparison,Fermentation.Type.Method,Fermentation.Type.Notes,Substrate.Notes,Food.Handling,Food.Handling.Notes,Foot.Type.Coarse,Foot.Type.Notes,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Other.Notes
Cervus_elaphus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,0,0,0,Gregarious,NA,,,,NA
Cervus_canadensis,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,0,0,0,Mega-groups,NA,,,,NA
Gazella_marica,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,2,0,0,Gregarious,NA,,,,NA
Sus_ahoenobarbus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,Handbook of the mammals of the world assumes it is similar to S. barbatus,1,Hume 2002 Acta Zoologica Sinica; Meijaard et al. 2011 Suidae,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,yes,Assumed isometric based on head-body length,Sus_barbatus,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,3,3,0,3,Gregarious,"handbook of mammals of the world it is not sure whether the species is solitary or gregarious, though they suspect the latter",rooting,,,NA
Rusa_alfredi,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Ahrestani et al. 2016 Springer Netherlands,Estimated,NA,"1, 25",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,0,0,0,Solitary/pairs,NA,,,,NA
Rusa_timorensis,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Ahrestani et al. 2016 Springer Netherlands,Estimated,NA,"1, 25",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,0,0,0,Gregarious,NA,,,,NA
Rusa_unicolor,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Ahrestani et al. 2016 Springer Netherlands,Estimated,NA,"1, 25",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,0,0,0,Gregarious,NA,,,,NA
Rusa_marianna,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Ahrestani et al. 2016 Springer Netherlands,Estimated,NA,"1, 25",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,0,Gregarious,It is not super clear how gregarious this species is. I called it gregarious based on the fact that it tends to aggregate during the rut,,,,NA
Gazella_cuvieri,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Arbouche et al. 2012 Archivos de zootecnia,Estimated,No specific information available according to handbook of the mammals of the world,"1, 97",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Gregarious,NA,,,,NA
Sus_scrofa,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Ballari and Barrios Garcia 2014 Mammal Review,Estimated,NA,"1,23",Hume 2002 Acta Zoologica Sinica; Meijaard et al. 2011 Suidae,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Ballari and Barrios Garcia 2014 Mammal Review,"1,23",yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,3,3,0,3,Gregarious,NA,rooting,,,NA
Hemitragus_jemlahicus,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Claus et al. 2005 Anatomia, Histologia, Embryologia",Estimated,NA,"1,31",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,Most likely foraged on steep cliffs,Mouth,,hoofed,two-toed unguligrade,3,3,0,0,Gregarious,NA,,,,NA
Ovis_aries,Jones et al. 2009 Ecology,"Jones, K.E., et al. 2009. PanTHERIA: a species-level database of life history, ecology, and geography of extant and recently extinct mammals. Ecology 90:2648.",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Cransac et al. 1997 Revue dEcologie,Estimated,"According to the Handbook of the mammals of the world, O. orientalis is a hybrid between O. gmelini and O.cycloceros. The diet is based on the description for both species","1,35",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,The source sees this species a hybrid. Based on O. cycloceros,The source sees this species a hybrid. Based on O. cycloceros,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,3,0,0,0,Gregarious,NA,,,,NA
Ovis_orientalis,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Cransac et al. 1997 Revue dEcologie,Estimated,"According to the Handbook of the mammals of the world, O. orientalis is a hybrid between O. gmelini and O.cycloceros. The diet is based on the description for both species","1,35",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,The source sees this species a hybrid. Based on O. cycloceros,The source sees this species a hybrid. Based on O. cycloceros,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,3,0,0,0,Gregarious,NA,,,,NA
Gazella_bennettii,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Dookia and Jakher 2007 Indian Forester,Estimated,"Uncertain, Handbook of the mammals of the world indicates this is uncertain, as very little is known about the social behaviour of the species","1, 96",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Rahmani 1990 Biological Conservation,87,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,2,0,0,Solitary/pairs,"Handbook of the mammals of the world indicates this is uncertain, as very little is known about the social behaviour of the species",,,,NA
Tragelaphus_strepsiceros,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Gagnon and Chew 2000 Journal of Mammalogy,Estimated,NA,"1, Gagnon & Chew 2000 Journal of Mammalogy",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Hempson et al. 2015 Science,11,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Gregarious,NA,,,,NA
Cephalophus_dorsalis,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Gautier Hion et al. 1980 Oecologia,Estimated,NA,"1, 94",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Hempson et al. 2015 Science,11,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,3,0,0,Solitary/pairs,NA,,,,NA
Ammotragus_lervia,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Gray and Simpson 1980 Mammalian Species,Estimated,NA,"1,29",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Hempson et al. 2015 Science,11,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Gregarious,NA,,,,NA
Bos_gaurus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Haleem and Ilyas 2018 Zoological Science,Estimated,NA,"1, Haleem & Ilyas 2018 Zoolog. Sci",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Gregarious,NA,,,,NA
Nanger_dama,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hempson et al. 2015 Science,Estimated,NA,"1, 11",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Hempson et al. 2015 Science,11,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Gregarious,NA,,,,NA
Raphicerus_campestris,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hempson et al. 2015 Science,Estimated,NA,"1, 11",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Hempson et al. 2015 Science,11,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,3,0,0,Solitary/pairs,NA,,,,NA
Tragelaphus_angasii,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hempson et al. 2015 Science; Ahrestani et al. 2016 Springer Netherlands,Estimated,NA,"1,11, 25",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Hempson et al. 2015 Science,11,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,3,0,0,Gregarious,NA,,,,NA
Hylochoerus_meinertzhageni,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hempson et al. 2015 Science; Cerling and Viehl 2004 African Journal of Ecology,Estimated,NA,"1, 11, 22",Hume 2002 Acta Zoologica Sinica; Meijaard et al. 2011 Suidae,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Hempson et al. 2015 Science,11,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,0,0,0,Gregarious,NA,,,,NA
Phacochoerus_africanus,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hempson et al. 2015 Science; Treydte et al. 2006 Journal of Mammalogy,Estimated,NA,"1,11,21",Hume 2002 Acta Zoologica Sinica; Meijaard et al. 2011 Suidae,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hempson et al. 2015 Science; Treydte et al. 2006 Journal of Mammalogy,"1,11,21",yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,3,Gregarious,NA,rooting,,,NA
Nilgiritragus_hylocrius,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Heywood 2010 Journal of Zoology,Estimated,NA,"1,32 ",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Gregarious,NA,,,,NA
Addax_nasomaculatus,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hummel et al. 2008 Comparative Biochemistry and Physiology,Estimated,NA,"1,33",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Gregarious,NA,,,,NA
Tragelaphus_spekii,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa,Estimated,NA,"1, Kingdon et al. 2013",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Hempson et al. 2015 Science,11,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Gregarious,NA,,,,NA
Bubalus_mindorensis,Rozzi 2017 Quaternary Science Reviews,"Rozzi, R. 2017. A new extinct dwarfed buffalo from Sulawesi and the evolution of the subgenus Anoa: an interdisciplinary perspective. Quaternary Science Reviews 157:188-205.",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Talbot and Talbot 1965 Mammalia; Clauss et al. 2009 Zoo Animal Nutrition,Estimated,uncertain,"1,19,34",Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Talbot and Talbot 1965 Mammalia,"1,19",NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Solitary/pairs,NA,,,,NA
